Year,TotalMenBronzeMedalWinners,TotalMenGoldMedalWinners,TotalMenSilverMedalWinners,TotalWomenBronzeMedalWinners,TotalWomenGoldMedalWinners,TotalWomenSilverMedalWinners
1896,40 ,64 ,47 ,0 ,0 ,0 
1900,137 ,175 ,189 ,5 ,3 ,3 
1904,121 ,182 ,155 ,2 ,6 ,4 
1908,206 ,306 ,277 ,5 ,5 ,5 
1912,274 ,291 ,290 ,10 ,10 ,10 
1920,341 ,482 ,432 ,14 ,15 ,14 
1924,269 ,284 ,280 ,16 ,17 ,18 
1928,210 ,197 ,208 ,32 ,32 ,31 
1932,176 ,193 ,186 ,20 ,20 ,20 
1936,254 ,271 ,266 ,28 ,28 ,28 
1948,236 ,244 ,238 ,32 ,32 ,32 
1952,253 ,254 ,243 ,46 ,46 ,47 
1956,248 ,252 ,239 ,49 ,46 ,51 
1960,254 ,246 ,237 ,47 ,49 ,49 
1964,282 ,267 ,271 ,61 ,63 ,66 
1968,281 ,270 ,268 ,70 ,71 ,71 
1972,336 ,307 ,304 ,76 ,80 ,82 
1976,321 ,302 ,301 ,126 ,127 ,128 
1980,328 ,317 ,313 ,144 ,143 ,142 
1984,338 ,320 ,315 ,162 ,163 ,161 
1988,352 ,334 ,325 ,183 ,172 ,180 
1992,391 ,358 ,356 ,205 ,200 ,195 
1996,374 ,356 ,352 ,260 ,259 ,258 
2000,386 ,370 ,370 ,299 ,293 ,297 
2004,376 ,361 ,362 ,303 ,298 ,298 
2008,391 ,362 ,357 ,319 ,307 ,306 
2012,364 ,333 ,328 ,316 ,303 ,305 
